,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT1T,GEAT1T,PBHT1T,PBAT1T,TGHT1T,TGAT1T,CGHT1T,CGAT1T,CFHT1T,CFAT1T,FCHT1T,FCAT1T,EHT1T,EAT1T,IHT1T,IAT1T,LCHT1T,LCAT1T,DGHT1T,DGAT1T,FHT1T,FAT1T,CVHT1T,CVAT1T,CAHT1T,CAAT1T,PTHT1T,PTAT1T,DHT1T,DAT1T,AHT1T,AAT1T,APHT1T,APAT1T,BACHT1T,BACAT1T
80,21.02.2024,RODADA 26,Liverpool,Luton,4,1,0,1,4,0,1.06,0.82,57%,43%,12,5,3,2,9,3,7,8,7,0,0,1,6,9,1,3,8,7,0,0,0,2,260,191,13,13,64,46,34,17,7,15
81,20.02.2024,RODADA 18,Manchester City,Brentford,1,0,0,0,1,0,1.68,0.32,68%,32%,17,5,6,2,11,3,5,5,6,0,0,2,7,8,2,6,6,2,0,0,1,1,317,150,3,6,71,28,73,16,7,18
82,19.02.2024,RODADA 25,Everton,Crystal Palace,1,1,0,0,1,1,0.35,0.33,51%,49%,6,5,0,2,6,3,6,6,1,4,1,2,11,17,2,0,5,5,0,0,0,0,222,208,9,10,67,56,31,20,14,11
83,18.02.2024,RODADA 25,Luton,Manchester Utd,1,2,1,2,0,0,1.13,1.00,59%,41%,11,8,2,4,9,4,12,5,1,3,1,0,10,6,2,1,4,12,0,0,1,3,263,184,4,6,52,46,27,20,7,8
84,18.02.2024,RODADA 25,Sheffield Utd,Brighton,0,5,0,2,0,3,0.17,2.42,22%,78%,3,13,1,6,2,7,4,4,3,4,2,1,5,8,4,1,2,3,1,0,0,1,111,392,1,8,24,68,16,43,27,6
85,17.02.2024,RODADA 25,Manchester City,Chelsea,1,1,0,1,1,0,0.95,0.72,67%,33%,14,3,2,3,12,0,10,3,4,1,0,2,9,8,2,2,3,9,0,0,0,1,336,164,10,15,65,34,46,8,6,18
86,17.02.2024,RODADA 25,Burnley,Arsenal,0,5,0,2,0,3,0.10,1.07,32%,68%,2,4,0,2,2,2,4,8,1,4,1,1,8,7,0,0,9,3,0,0,2,1,147,317,10,7,39,51,15,28,11,9
87,17.02.2024,RODADA 25,Fulham,Aston Villa,1,2,0,1,1,1,0.38,0.87,52%,48%,6,8,1,2,5,6,6,5,2,4,0,4,8,7,1,1,4,2,0,0,0,1,233,220,6,3,40,31,21,21,8,10
88,17.02.2024,RODADA 25,Newcastle,Bournemouth,2,2,0,0,2,2,0.58,1.16,62%,38%,8,5,2,3,6,2,13,4,1,2,0,1,11,11,3,2,4,11,0,0,0,1,248,139,9,11,45,47,23,15,9,8
89,17.02.2024,RODADA 25,Nottingham,West Ham,2,0,1,0,1,0,1.41,0.40,48%,52%,8,5,5,1,3,4,7,5,1,1,0,0,11,9,1,4,5,7,0,0,2,2,229,244,14,6,39,66,20,29,10,8
90,17.02.2024,RODADA 25,Tottenham,Wolverhampton,1,2,0,1,1,1,0.39,0.64,64%,36%,5,6,0,4,5,2,8,6,4,2,0,1,9,6,3,0,6,7,0,0,0,0,314,172,15,9,71,46,53,26,3,18
91,17.02.2024,RODADA 25,Brentford,Liverpool,1,4,0,1,1,3,0.35,0.90,35%,65%,8,5,3,4,5,1,9,2,0,5,1,0,7,7,3,3,1,9,0,0,1,0,147,263,7,5,42,65,21,30,13,4
92,12.02.2024,RODADA 24,Crystal Palace,Chelsea,1,3,1,0,0,3,0.16,0.07,20%,80%,6,1,3,0,3,1,5,7,0,1,0,2,6,11,0,2,7,3,0,0,0,0,117,458,14,7,31,84,14,42,17,3
93,11.02.2024,RODADA 24,Aston Villa,Manchester Utd,1,2,0,1,1,1,0.73,1.21,58%,42%,10,7,3,1,7,6,8,4,4,6,0,4,10,1,0,3,4,4,0,0,1,2,245,176,4,11,53,25,26,19,10,14
94,11.02.2024,RODADA 24,West Ham,Arsenal,0,6,0,4,0,2,0.01,2.52,28%,72%,1,15,0,7,1,8,4,4,1,6,2,2,9,2,3,0,4,2,0,0,2,0,132,337,15,6,34,69,8,39,14,10
95,10.02.2024,RODADA 24,Nottingham,Newcastle,2,3,2,2,0,1,1.09,0.44,30%,70%,3,5,2,4,1,1,2,5,1,3,0,0,13,10,2,0,7,3,0,0,0,0,158,309,6,6,37,58,21,26,11,13
96,10.02.2024,RODADA 24,Fulham,Bournemouth,3,1,2,0,1,1,0.73,1.01,58%,42%,5,9,4,1,1,8,8,5,0,2,1,0,10,7,1,2,4,7,0,0,0,0,298,216,8,10,63,56,27,19,5,11
