,Data,Round,HomeTeam,AwayTeam,HT0G,AT0G,HT1G,AT1G,HT2G,AT2G,GEHT0T,GEAT0T,PBHT0T,PBAT0T,TGHT0T,TGAT0T,CGHT0T,CGAT0T,CFHT0T,CFAT0T,FCHT0T,FCAT0T,EHT0T,EAT0T,IHT0T,IAT0T,LCHT0T,LCAT0T,DGHT0T,DGAT0T,FHT0T,FAT0T,CVHT0T,CVAT0T,CAHT0T,CAAT0T,PTHT0T,PTAT0T,DHT0T,DAT0T,AHT0T,AAT0T,APHT0T,APAT0T,BACHT0T,BACAT0T
80,25.02.2024,RODADA 26,Modena,Spezia,0,0,0,0,0,0,1.46,0.14,75%,25%,31,3,7,0,13,3,13,18,11,0,1,1,19,13,0,7,12,18,0,1,4,4,588,204,19,17,112,60,94,29,10,39
81,24.02.2024,RODADA 26,Como,Parma,1,1,1,1,0,0,0.70,1.62,59%,41%,5,14,2,5,1,6,15,17,3,3,3,3,21,28,4,1,0,0,11,14,2,2,513,346,11,19,103,103,40,52,21,16
82,24.02.2024,RODADA 26,Pisa,Venezia,1,2,0,0,1,2,0.56,1.06,52%,48%,15,12,2,4,8,5,11,14,4,3,1,4,21,19,2,1,0,0,10,13,2,3,454,423,13,19,89,95,38,40,18,17
83,24.02.2024,RODADA 26,Ternana,Lecco,0,0,0,0,0,0,0.55,0.66,52%,48%,7,18,2,4,2,10,15,20,7,9,2,0,22,23,4,2,0,0,15,17,2,1,402,372,16,8,106,82,51,52,28,17
84,24.02.2024,RODADA 26,Brescia,Reggiana,0,0,0,0,0,0,0.83,0.78,42%,58%,11,11,2,5,4,4,17,15,0,2,1,1,22,27,5,2,0,0,13,14,2,1,386,531,27,16,118,134,28,50,25,9
85,24.02.2024,RODADA 26,Cittadella,Catanzaro,1,2,1,1,0,1,1.69,0.87,34%,66%,12,11,4,5,6,2,17,24,5,5,0,1,23,15,3,3,0,0,16,21,1,4,257,525,5,20,80,82,47,26,15,37
86,24.02.2024,RODADA 26,Cremonese,Palermo,2,2,0,2,2,0,1.65,1.80,44%,56%,17,16,5,8,7,5,18,8,5,9,2,1,11,23,6,3,17,5,1,0,1,3,299,397,18,16,88,79,47,58,26,25
87,24.02.2024,RODADA 26,FeralpiSalo,Ascoli,0,1,0,1,0,0,1.28,0.56,66%,34%,15,10,4,4,4,4,20,18,7,3,0,2,25,18,3,4,0,0,19,16,2,3,508,264,9,13,143,83,63,21,12,29
88,24.02.2024,RODADA 26,Sudtirol,Bari,1,0,0,0,1,0,1.46,0.28,59%,41%,7,4,1,1,3,1,19,14,3,4,1,1,17,27,1,0,0,0,18,11,3,1,495,339,24,21,102,83,49,51,20,15
89,23.02.2024,RODADA 26,Cosenza,Sampdoria,1,2,0,2,1,0,1.93,0.96,60%,40%,19,7,6,3,9,3,7,9,12,0,2,0,25,24,1,5,0,0,10,8,2,5,498,353,15,17,127,63,75,16,13,36
90,18.02.2024,RODADA 25,Venezia,Modena,2,2,1,0,1,2,1.75,1.81,57%,43%,14,13,4,4,3,7,11,10,7,4,1,1,17,12,2,2,0,0,8,11,2,3,497,378,8,14,112,70,64,63,18,24
91,17.02.2024,RODADA 25,Catanzaro,Sudtirol,2,2,1,1,1,1,2.02,0.31,59%,41%,16,6,6,3,6,1,24,13,6,2,0,0,15,14,1,4,13,24,1,0,3,3,539,368,14,16,124,79,44,17,7,19
92,17.02.2024,RODADA 25,Palermo,Como,3,0,1,0,2,0,1.14,0.74,33%,67%,7,17,4,3,1,10,20,19,0,8,4,2,16,15,3,1,0,0,16,14,1,3,246,487,27,18,56,123,15,49,27,6
93,17.02.2024,RODADA 25,Sampdoria,Brescia,1,1,0,0,1,1,1.12,0.20,50%,50%,13,8,3,4,4,3,15,10,2,6,0,0,10,18,3,2,0,0,17,12,1,2,471,446,10,21,98,97,53,55,15,15
94,17.02.2024,RODADA 25,Bari,FeralpiSalo,1,0,0,0,1,0,1.34,0.24,49%,51%,8,8,3,2,3,5,18,15,4,0,1,0,18,20,2,2,0,0,17,14,3,1,378,392,25,22,101,121,47,34,13,9
95,17.02.2024,RODADA 25,Lecco,Cosenza,1,3,0,2,1,1,1.76,1.85,53%,47%,25,15,6,6,12,4,17,14,13,2,3,3,38,25,3,5,0,0,12,12,5,4,389,352,14,22,93,87,81,33,14,36
96,17.02.2024,RODADA 25,Parma,Pisa,3,2,1,1,2,1,1.54,1.56,47%,53%,16,8,9,3,1,4,14,11,3,2,1,2,23,22,1,6,0,0,12,10,2,3,469,532,13,24,126,73,58,27,5,15
97,17.02.2024,RODADA 25,Reggiana,Ternana,0,2,0,1,0,1,1.05,1.97,60%,40%,17,10,6,6,7,4,20,20,7,4,2,3,23,11,4,6,0,0,17,18,3,3,507,340,14,19,107,104,40,28,9,20
98,17.02.2024,RODADA 25,Spezia,Cittadella,4,2,2,1,2,1,1.65,0.96,65%,35%,15,7,8,3,4,3,17,18,4,4,1,0,15,27,1,4,18,19,0,2,1,6,591,300,14,18,126,81,48,31,21,21
99,16.02.2024,RODADA 25,Ascoli,Cremonese,0,0,0,0,0,0,0.39,0.60,38%,62%,10,9,1,1,5,5,22,21,4,1,2,3,18,17,1,1,0,0,20,18,3,4,242,410,17,12,86,94,55,42,18,26
100,11.02.2024,RODADA 24,Ternana,Spezia,1,1,0,0,1,1,1.85,0.71,40%,60%,13,12,5,4,7,5,23,20,3,3,1,0,20,24,3,4,0,0,23,19,2,2,353,524,13,16,84,110,21,40,13,16
101,10.02.2024,RODADA 24,Bari,Lecco,3,1,1,0,2,1,0.92,1.55,45%,55%,10,12,3,3,5,7,13,14,4,9,1,3,22,31,2,0,0,0,10,10,3,2,330,397,25,15,70,104,35,55,18,9
102,10.02.2024,RODADA 24,Catanzaro,Ascoli,3,2,1,2,2,0,1.84,0.37,71%,29%,11,10,2,3,5,5,25,19,4,4,1,2,17,17,1,0,21,18,0,1,5,4,590,237,7,18,106,108,46,26,16,26
103,10.02.2024,RODADA 24,Pisa,Sampdoria,2,0,0,0,2,0,0.87,0.33,61%,39%,10,8,4,2,6,2,19,16,2,3,0,3,22,15,2,2,15,15,0,1,3,5,567,353,8,15,103,82,35,39,10,12
